occ_code,occ_title,total_employment,employment_prse,mean_wage_prse,mean_annual,mean_annual_topcoded,median_annual,median_annual_topcoded,pct10_annual,pct25_annual,pct75_annual,pct90_annual,year
11-1011,Chief Executives,211230,1.4,0.7,258900.0,False,206680.0,False,80000.0,130840.0,,,2023
11-1021,General and Operations Managers,3507810,0.4,0.9,129330.0,False,101280.0,False,46340.0,65180.0,160290.0,232110.0,2023
11-1031,Legislators,32460,1.7,1.3,68140.0,False,47290.0,False,21010.0,28810.0,82200.0,129510.0,2023
11-2011,Advertising and Promotions Managers,20630,2.9,2.7,152620.0,False,131870.0,False,63580.0,88810.0,188530.0,,2023
11-2021,Marketing Managers,368940,1.8,0.3,166410.0,False,157620.0,False,79600.0,108000.0,208000.0,,2023
11-2022,Sales Managers,575880,1.3,0.3,157610.0,False,135160.0,False,63700.0,93540.0,196700.0,,2023
11-2032,Public Relations Managers,72760,3.2,1.0,159420.0,False,134760.0,False,76160.0,99180.0,191840.0,,2023
11-2033,Fundraising Managers,31810,1.9,0.9,133620.0,False,119200.0,False,68800.0,86880.0,162660.0,212730.0,2023
11-3012,Administrative Services Managers,242520,1.3,0.4,121200.0,False,106470.0,False,62470.0,81420.0,140870.0,188820.0,2023
11-3013,Facilities Managers,131400,1.2,0.4,111110.0,False,102340.0,False,60840.0,78130.0,133990.0,169020.0,2023
11-3021,Computer and Information Systems Managers,592600,0.5,0.3,180720.0,False,169510.0,False,101590.0,131770.0,214050.0,,2023
11-3031,Financial Managers,787340,1.0,0.5,174820.0,False,156100.0,False,82870.0,110190.0,210830.0,,2023
11-3051,Industrial Production Managers,222890,0.7,0.3,125900.0,False,116970.0,False,72010.0,91590.0,151220.0,190480.0,2023
11-3061,Purchasing Managers,77530,1.2,0.4,146710.0,False,136380.0,False,83510.0,105300.0,172110.0,215170.0,2023
11-3071,"Transportation, Storage, and Distribution Managers",198780,0.7,0.3,111870.0,False,99200.0,False,58810.0,76120.0,133090.0,175530.0,2023
11-3111,Compensation and Benefits Managers,18690,2.6,1.2,150940.0,False,136380.0,False,76550.0,102540.0,181030.0,229970.0,2023
11-3121,Human Resources Managers,200600,1.3,0.4,154740.0,False,136350.0,False,81060.0,103340.0,182120.0,,2023
11-3131,Training and Development Managers,41540,2.4,0.4,138450.0,False,125040.0,False,73410.0,94240.0,166780.0,220060.0,2023
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6150,4.7,1.4,90160.0,False,83770.0,False,47800.0,63510.0,109090.0,136410.0,2023
11-9021,Construction Managers,329190,2.9,0.5,116960.0,False,104900.0,False,64480.0,81640.0,135550.0,172040.0,2023
11-9031,"Education and Childcare Administrators, Preschool and Daycare",64090,1.7,1.1,61320.0,False,54290.0,False,36550.0,44420.0,69350.0,94890.0,2023
11-9032,"Education Administrators, Kindergarten through Secondary",302580,0.6,0.3,111020.0,False,103460.0,False,70050.0,83050.0,131180.0,163010.0,2023
11-9033,"Education Administrators, Postsecondary",167270,0.3,0.3,122010.0,False,102610.0,False,62970.0,79700.0,137230.0,209870.0,2023
11-9039,"Education Administrators, All Other",50690,1.3,0.7,100720.0,False,88460.0,False,49470.0,64800.0,120120.0,158200.0,2023
11-9041,Architectural and Engineering Managers,207800,2.1,0.5,172290.0,False,165370.0,False,107390.0,132890.0,203030.0,233590.0,2023
11-9051,Food Service Managers,246070,2.1,0.8,69580.0,False,63060.0,False,42990.0,50390.0,79630.0,101240.0,2023
